Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
Time stamp,Part Count,full,robot_moving,photoeye,auto_mode,enable,Machine State
2026-05-27T16:16:02,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:02,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:02,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:02,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:02,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:03,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:03,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:03,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:03,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:03,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:04,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:04,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:04,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:04,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:04,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:05,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:05,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:05,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:05,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:05,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:06,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:06,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:06,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:06,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:07,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:07,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:07,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:07,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:07,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:08,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:08,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:08,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:08,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:08,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:09,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:09,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:09,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:09,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:09,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:10,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:10,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:10,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:10,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:10,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:11,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:11,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:11,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:11,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:11,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:12,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:12,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:12,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:12,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:12,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:13,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:13,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:13,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:13,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:14,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:14,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:14,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:14,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:14,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:15,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:15,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:15,0,False,False,False,True,True,MACHINE READY
2026-05-27T16:16:15,0,False,False,False,True,True,MACHINE READY
